topic_id,topic_name,total,true_count,false_count,needed_true,needed_false
0,Abdominal Trauma,1,1,0,2,2
1,Acute Abdomen,4,2,2,1,0
2,Acute Appendicitis,2,0,2,3,0
3,Acute Cholecystitis,3,2,1,1,1
4,Acute Coronary Syndrome,3,1,2,2,0
5,Acute Kidney Injury,2,1,1,2,1
6,Acute Liver Failure,2,2,0,1,2
7,Acute Myocardial Infarction (STEMI_NSTEMI),1,1,0,2,2
8,Acute Respiratory Distress Syndrome,2,1,1,2,1
9,Anaphylaxis,1,0,1,3,1
10,Aortic Dissection,2,1,1,2,1
11,Aortic Stenosis,2,1,1,2,1
12,Arrhythmias (various),2,1,1,2,1
13,Aspiration Pneumonia,0,0,0,3,2
14,Asthma Exacerbation,1,1,0,2,2
15,Atrial Fibrillation,2,0,2,3,0
16,Blunt Trauma,1,1,0,2,2
17,Bowel Obstruction,1,0,1,3,1
18,Brain Death,0,0,0,3,2
19,Bronchitis,1,0,1,3,1
20,Burns,1,1,0,2,2
21,COPD Exacerbation,4,2,2,1,0
22,Cardiac Arrest,1,0,1,3,1
23,Cardiac Contusion,1,0,1,3,1
24,Cardiac Tamponade,1,0,1,3,1
25,Cardiomyopathy,2,0,2,3,0
26,Cervical Spine Injury,4,3,1,0,1
27,Chest Pain (non-cardiac),1,0,1,3,1
28,Compartment Syndrome,3,3,0,0,2
29,Delirium,1,0,1,3,1
30,Diabetic Ketoacidosis,3,3,0,0,2
31,Eclampsia,0,0,0,3,2
32,Ectopic Pregnancy,1,1,0,2,2
33,Embolism,2,1,1,2,1
34,Empyema,3,2,1,1,1
35,Encephalitis,1,0,1,3,1
36,Endocarditis,1,1,0,2,2
37,GI Bleeding,0,0,0,3,2
38,Heart Failure (Acute_Chronic),3,1,2,2,0
39,Hemothorax,2,1,1,2,1
40,Hypertensive Emergency,6,5,1,0,1
41,Hyperventilation Syndrome,2,0,2,3,0
42,Hypoglycemia,0,0,0,3,2
43,Hyponatremia_Hypernatremia,1,1,0,2,2
44,Hypothermia_Hyperthermia,1,0,1,3,1
45,Interstitial Lung Disease,1,0,1,3,1
46,Lung Abscess,0,0,0,3,2
47,Lung Cancer,2,0,2,3,0
48,Meningitis,4,1,3,1,0
49,Mitral Regurgitation,1,1,0,2,2
50,Multi-organ Failure,2,1,1,2,1
51,Myocarditis,0,0,0,3,2
52,Ovarian Torsion,1,1,0,2,2
53,Overdose_Poisoning,2,1,1,2,1
54,Pancreatitis,0,0,0,3,2
55,Penetrating Trauma,3,1,2,2,0
56,Perforated Viscus,2,1,1,2,1
57,Pericarditis,1,0,1,3,1
58,Placental Abruption,1,1,0,2,2
59,Pleural Effusion,1,1,0,2,2
60,Pneumomediastinum,2,2,0,1,2
61,Pneumonia (bacterial_viral_atypical),3,2,1,1,1
62,Pneumothorax,2,1,1,2,1
63,Pulmonary Embolism,4,3,1,0,1
64,Pulmonary Fibrosis,2,1,1,2,1
65,Pulmonary Hypertension,5,3,2,0,0
66,Respiratory Acidosis,0,0,0,3,2
67,Respiratory Failure,2,1,1,2,1
68,Rhabdomyolysis,2,0,2,3,0
69,Right Heart Failure,2,1,1,2,1
70,Ruptured AAA,3,3,0,0,2
71,Seizures_Status Epilepticus,1,0,1,3,1
72,Sepsis_Septic Shock,0,0,0,3,2
73,Shock (various types),2,1,1,2,1
74,Sleep Apnea,1,1,0,2,2
75,Stroke (Ischemic_Hemorrhagic),0,0,0,3,2
76,Syncope,3,2,1,1,1
77,Takotsubo Cardiomyopathy,2,0,2,3,0
78,Testicular Torsion,1,1,0,2,2
79,Traumatic Brain Injury,3,2,1,1,1
80,Unstable Angina,3,2,1,1,1
81,Upper Airway Obstruction,2,1,1,2,1
82,Ventricular Tachycardia,1,1,0,2,2
83,12-lead ECG,3,1,2,2,0
84,Angiography (invasive),3,1,2,2,0
85,Arterial Blood Gas (ABG),1,0,1,3,1
86,B-type Natriuretic Peptide (BNP),3,2,1,1,1
87,Blood Cultures,2,0,2,3,0
88,Bronchoscopy with BAL,3,2,1,1,1
89,C-Reactive Protein (CRP),0,0,0,3,2
90,CT Angiogram,2,2,0,1,2
91,CT Other,1,0,1,3,1
92,Cardiac Catheterization,1,0,1,3,1
93,Central Venous Pressure,2,2,0,1,2
94,Chest X-ray,1,1,0,2,2
95,Coagulation Studies (PT_PTT_INR),0,0,0,3,2
96,Complete Blood Count (CBC) with differential,3,1,2,2,0
97,Creatine Phosphokinase,2,0,2,3,0
98,Echocardiogram,1,1,0,2,2
99,Hemoglobin A1C,5,2,3,0,0
100,Lactate,2,2,0,1,2
101,Lipase,1,1,0,2,2
102,Lumbar Puncture_CSF Analysis,2,1,1,2,1
103,MRI,1,0,1,3,1
104,Procalcitonin,1,1,0,2,2
105,Pulse Oximetry_Arterial Saturation,4,1,3,1,0
106,Stress Test (exercise or pharmacologic),3,2,1,1,1
107,Thyroid Stimulating Hormone (TSH),0,0,0,3,2
108,Toxicology Screen,2,2,0,1,2
109,Troponin I_T,1,1,0,2,2
110,Ultrasound Doppler (extremities),0,0,0,3,2
111,Ultrasound FAST exam,1,1,0,2,2
112,Ultrasound Other,1,0,1,3,1
113,Urinalysis,3,2,1,1,1
114,Urine Pregnancy Test,0,0,0,3,2
